"DBID" "Drug name" "Generic.ID"
"1" "DB00443" "betamethasone" "Betamthasone"
"2" "DB00443" "celestone" "Betamthasone"
"3" "DB00620" "aristospan intra-articular" "Triamcinolone"
"4" "DB00620" "aristospan intralesional" "Triamcinolone"
"5" "DB00620" "kenalog" "Triamcinolone"
"6" "DB00620" "triamcinolone" "Triamcinolone"
"7" "DB00635" "prednisone" "Prednisone"
"8" "DB00635" "prednisone intensol" "Prednisone"
"9" "DB00687" "florinef" "Fludrocortisone"
"10" "DB00687" "fludrocortisone" "Fludrocortisone"
"11" "DB00741" "cortef" "Hydrocortisone"
"12" "DB00741" "hydrocortisone" "Hydrocortisone"
"13" "DB00860" "prednisolone" "Prednisolone"
"14" "DB00860" "prelone" "Prednisolone"
"15" "DB00959" "depo-medrol" "Methylprednisone"
"16" "DB00959" "medrol" "Methylprednisone"
"17" "DB00959" "methylprednisolone" "Methylprednisone"
"18" "DB00959" "solu-medrol" "Methylprednisone"
"19" "DB01234" "dexamethasone" "Dexamethosone"
"20" "DB01234" "dexamethasone intensol" "Dexamethosone"
"21" "DB01234" "dexpak 10 day" "Dexamethosone"
"22" "DB01234" "dexpak 13 day" "Dexamethosone"
"23" "DB01234" "dexpak 6 day" "Dexamethosone"
"24" "DB14631" "orapred" "Prednisolone Phosphate"
"25" "DB14681" "cortisone" "Cortisone"
